run,repetition,module,name,value
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00050869085604409
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00052051816728184
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00053190506336727
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00053574395980788
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00051234784849128
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00050545615441533
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00050840473640926
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00052260547166766
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00053585200347615
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.0005211934624258
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00053009166988496
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.0005338237109224
General-16-20221231-12:32:36-16832,16,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.0005196105745348
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00051234983909091
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052778065269881
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00051312650271045
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00053462896414774
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00050697283092142
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.0005169742153184
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052688887405528
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00051060355545313
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.0005289146656803
General-17-20221231-12:32:36-5156,17,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00051575363407753
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00053615118801278
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052757217706126
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00051936618621914
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.0005329667416222
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00050820355136381
General-18-20221231-12:32:37-2248,18,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.0005201704527027
